GeneName	GFOLD(0.01)	1stRPKM
s21_668325_length_217_cvg_3.0_tip_1	0	0
s21_668591_length_218_cvg_2.0_tip_1	0	0
s21_668621_length_218_cvg_3.5_tip_1	0	0
s21_668975_length_218_cvg_2.0_tip_1	0	0
s21_669311_length_218_cvg_2.0_tip_1	0	0.220468
s21_669339_length_218_cvg_22.5_tip_1	0	0.440936
s21_669357_length_218_cvg_3.2_tip_1	0	0.220468
s21_669495_length_218_cvg_2.0_tip_1	0	0
s21_669803_length_218_cvg_6.7_tip_0	0	1.10234
s21_669864_length_219_cvg_54.4_tip_1	0	1.31677
s21_669966_length_219_cvg_16.7_tip_1	0	0
s21_670242_length_219_cvg_8.1_tip_1	0	0
s21_670394_length_219_cvg_2.0_tip_1	0	0.438922
s21_670782_length_219_cvg_19.8_tip_1	0	0.658383
s21_671004_length_219_cvg_7.2_tip_1	0	0
s21_671144_length_220_cvg_5.3_tip_1	0	0
s21_671382_length_220_cvg_4.5_tip_1	0	0.218464
s21_671582_length_220_cvg_28.9_tip_1	0	0
s21_672116_length_220_cvg_35.3_tip_1	0	0
s21_672136_length_220_cvg_2.0_tip_1	0	0
s21_672244_length_220_cvg_2.8_tip_1	0	0
s21_672510_length_221_cvg_5.4_tip_1	0	0.217475
s21_672624_length_221_cvg_2.8_tip_1	0	0.43495
s21_672630_length_221_cvg_2.9_tip_1	0	0
s21_672712_length_221_cvg_6.4_tip_1	0	0
s21_673054_length_221_cvg_36.5_tip_1	0	0.217475
s21_673154_length_221_cvg_6.1_tip_1	0	1.08738
s21_674228_length_222_cvg_3.5_tip_1	0	0
s21_675458_length_223_cvg_2.5_tip_1	0	0
s21_675672_length_223_cvg_11.4_tip_1	0	0.215525
s21_675928_length_223_cvg_2.0_tip_1	0	0
s21_676070_length_223_cvg_17.5_tip_1	0	1.29315
s21_676178_length_223_cvg_2.7_tip_1	0	0.215525
s21_676492_length_224_cvg_2.4_tip_1	0	0.429125
s21_676642_length_224_cvg_3.3_tip_1	0	0
s21_676934_length_224_cvg_2.0_tip_1	0	0
s21_677278_length_224_cvg_3.9_tip_1	0	0
s21_678066_length_225_cvg_36.2_tip_1	0	0.640827
s21_679038_length_226_cvg_2.0_tip_1	0	0
s21_679210_length_226_cvg_2.2_tip_1	0	0
s21_680071_length_227_cvg_2.1_tip_1	0	0
s21_680273_length_227_cvg_2.6_tip_1	0	0
s21_680333_length_227_cvg_12.0_tip_1	0	0
s21_680911_length_227_cvg_5.4_tip_1	0	0
s21_681439_length_228_cvg_6.6_tip_1	0	0
s21_681451_length_228_cvg_5.0_tip_1	0	0
s21_681821_length_228_cvg_7.0_tip_1	0	0.632395
s21_682341_length_228_cvg_3.0_tip_1	0	0.210798
s21_682516_length_229_cvg_30.0_tip_1	0	0
s21_682566_length_229_cvg_62.1_tip_0	0	0.209878
s21_683486_length_229_cvg_5.0_tip_1	0	0.209878
s21_683580_length_229_cvg_3.5_tip_1	0	0
s21_683814_length_230_cvg_7.7_tip_1	0	0.208965
s21_683818_length_230_cvg_2.7_tip_1	0	0
s21_683914_length_230_cvg_3.1_tip_1	0	0
s21_684072_length_230_cvg_2.0_tip_1	0	0
s21_684285_length_230_cvg_16.2_tip_1	0	0.626896
s21_684473_length_230_cvg_2.0_tip_1	0	0
s21_684491_length_230_cvg_3.2_tip_1	0	0.208965
s21_684567_length_230_cvg_6.6_tip_1	0	0.41793
s21_684755_length_230_cvg_4.6_tip_1	0	0
s21_684789_length_230_cvg_2.0_tip_1	0	0
s21_685385_length_231_cvg_7.8_tip_1	0	0
s21_685509_length_231_cvg_7.1_tip_1	0	0
s21_685713_length_231_cvg_2.0_tip_1	0	0.208061
s21_686149_length_231_cvg_3.8_tip_1	0	0
s21_686598_length_232_cvg_2.1_tip_1	0	0.207164
s21_686676_length_232_cvg_3.2_tip_1	0	0
s21_687708_length_233_cvg_26.9_tip_1	0	0.618824
s21_687974_length_233_cvg_2.0_tip_1	0	0
s21_688094_length_233_cvg_4.6_tip_1	0	0.206275
s21_688152_length_233_cvg_35.8_tip_0	0	0.206275
s21_688526_length_233_cvg_2.4_tip_1	0	0
s21_688592_length_234_cvg_2.0_tip_1	0	0.410786
s21_688720_length_234_cvg_2.2_tip_1	0	0
s21_688764_length_234_cvg_2.0_tip_1	0	0.205393
s21_688836_length_234_cvg_7.4_tip_1	0	0
s21_689175_length_234_cvg_2.3_tip_1	0	0.410786
s21_689705_length_235_cvg_3.2_tip_1	0	0.409038
s21_690057_length_235_cvg_17.1_tip_1	0	0
s21_690169_length_235_cvg_2.0_tip_1	0	0
